药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
通草,白通草、通花、花草、大通草、通大海、泡通、五加风、宽肠、大通塔、大木通、五角加皮,味甘、淡，性微寒；归肺、胃经,利尿通淋，通气下乳。,主要用于淋证水肿、产后乳汁不下、目昏等。 ,植物,内服：煎服，3-5g。,1、气阴两虚，内无湿热者慎用。
胖大海,安南子、大洞果、胡大海、大发、通大海、大海子、大海、大海榄,味甘，性寒；归肺、大肠经,清热润肺，利咽开音，润肠通便。,1、肺热声哑，咽喉疼痛，咳嗽：本品甘寒质轻能清宣肺气，化痰利咽开音。  2、燥热便秘，头痛目赤：本品能润肠通便，清热泻火。,有小毒,内服：2-4枚，沸水泡服或煎服。,脾胃虚寒泄泻者慎服。
吴茱萸,食茱萸、吴萸、茶辣、漆辣子、优辣子、曲药子、气辣子,味辛、苦，性热；归肝、脾、胃、肾经,散寒止痛，降逆止呕，助阳止泻。,1、寒凝疼痛：本品辛散苦泄，性热祛寒，主入肝经，既散肝经之寒邪，又疏肝气之郁滞，为治肝寒气滞诸痛之主药。  2、胃寒呕吐：本品辛散苦泄，性热祛寒，善能散寒止痛，还能疏肝解郁，降逆止呕，兼能制酸止痛。  3、虚寒泄泻：本品性味辛热，能温脾益肾，助阳止泻，为治脾肾阳虚，五更泄泻之常用药。,有小毒,内服：煎服，1.5-4.5g。外用：适量。,本品辛热燥烈，易耗津气动火，故不宜多用、久服。阴虚有热者忌用。
马齿苋,马齿草、马苋、马齿菜、马齿龙芽、五行草、五方草、长命菜、九头狮子草、灰苋、马踏菜、酱瓣草、安乐菜、酸苋、豆板菜、瓜子菜、长命苋、酱瓣豆草、蛇草、酸味菜、猪母菜、狮子草、地马菜、马蛇子菜、蚂蚁菜、长寿菜、耐旱菜,味酸、寒；归肝、大肠经,清热解毒，凉血止血，止痢。,1、热毒血痢：本品性寒质滑，酸能收敛，入大肠经，具有清热解毒，凉血止痢之功，为治痢疾的常用药物。  2、热毒疮疡：本品具有清热解毒，凉血消肿之功。  3、崩漏，便血：本品味酸而寒，入肝经血分，有清热凉血，收敛止血之效。  4、本品还可用于湿热淋证、带下等。 ,植物,内服：煎服9-15g，鲜品30-60g。外用：适量，捣敷患处。,1、脾胃虚寒者慎用。
莲子心,薏、苦薏、莲薏、连心,味苦，寒；归心、肾经,清心火，平肝火，止血，固精。,神昏谵语，烦躁不眠，眩晕目赤，吐血，遗精。,植物,内服：煎汤，1.5-3g；或入散剂。,脾胃虚寒者禁服。
前胡,白花前胡、鸡脚前胡、官前胡、山独活,味苦、辛，性微寒；归肺经,降气化痰，散风清热。,1、痰热咳喘：本品辛散苦降，性寒清热，宜于痰热壅肺，肺失宣降之咳喘胸满。  2、风热咳嗽：本品味辛性微寒，又能疏散风热，宣发肺气，化痰止咳。,植物,内服：煎服，6-10g；或入丸、散。,阴虚咳嗽、寒饮咳嗽患者慎服。
党参,上党人参、防风党参、黄参、防党参、上党参、狮头参、中灵草,味甘，性平；归脾、肺经,补脾益肺，生津养血。,主要用于脾胃虚弱，肺虚喘咳，津伤口渴，血虚体弱等。,植物,内服：煎汤，6-15g；或熬膏，入丸、散。生津养血宜生用；补脾益肺宜炙用。,对虚寒证最为适用，如属热证，则不宜单独应用。
荆芥,假苏、鼠蓂、姜芥,味辛，性微温；归肺、肝经,祛风解表，透疹消疮，止血。,1、外感表证：本品辛散气香，长于发表散风，且微温不烈，药性和缓，为发散风寒药中药性最为平和之品。对于外感表证，无论风寒、风热或寒热不明显者，均可广泛使用。  2、麻疹不透、风疹瘙痒：本品质轻透散，祛风止痒，宣散疹毒。  3、疮疡初起兼有表证：本品能祛风解表，透散邪气，宣通壅结而达消疮之功，故可用于疮疡初起而有表证者。  4、吐衄下血：本品炒炭，其性味已由辛温变为苦涩平和，长于理血止血，可用于吐血、衄血、便血、崩漏等多种出血证。 ,植物,内服：煎汤，4.5-9g，不宜久煎。发表透疹消疮宜生用；止血宜炒用。荆芥穗更长于祛风。,1、性温，凡外感风热或温热、火热内炽、阴虚火旺、血虚血热等证不宜单味药服。
路路通,枫实、枫果、枫木、上球、枫香果、九空子、狼目、狼眼、枫树球、枫莍子,味苦，性平；归肝、肾经,祛风活络，利水，通经。,1、风湿痹痛，中风半身不遂：本品“大能通十二经穴”，既能祛风湿，又能舒筋络，通经脉。  2、跌打损伤：本品能通行经脉而散瘀止痛。  3、水肿：本品味苦降泄，能通经利水消肿。  4、经行不畅，经闭：本品能疏理肝气而通经。  5、乳少，乳汁不通：本品能通经脉，下乳汁。  6、风疹瘙痒：本品能祛风止痒。 ,植物,内服：煎服，5-9g。外用：适量。,虚寒血崩者勿服。月经过多禁用。孕妇忌用。
益智仁,益智子、摘艼子,味辛，性温；归脾、肾经,温脾止泻摄涎，暖肾缩尿固精。,脾胃虚寒，呕吐，泄泻，腹中冷痛，口多唾涎，肾虚遗尿，尿频，遗精，白浊。,植物,内服：煎汤，3-9g；或入丸、散。,1、《本草经疏》：“凡呕吐由于热而不因于寒；气逆由于怒而不因于虚；小便余沥由于水涸精亏内热，而不由于肾气虚寒；泄泻由于湿火暴注，而不由于气虚肠滑，法并禁之。”
车前草,车前、当道、牛舌草、车轮菜、野甜菜、地胆头、白贯草、猪耳草、七星草、五根草、猪肚子,味甘，性寒；归肝、肾、膀胱经,清热利尿，凉血，解毒。,1、热淋、石淋、血淋、尿血，妇女白带，暑湿泻痢：车前草甘寒滑利，长于清热利尿，其利尿作用同车前子而清热则过之。  2、肝热目赤，咽喉肿痛，痄腮，丹毒，痈肿疮毒等病症。  3、车前草亦治痰热咳嗽，高血压病，肾炎见小便短赤不利者及痛风性关节炎。,植物,内服：煎汤，15-30g，鲜品30-60g；或捣汁服。外用：适量，煎水洗、捣烂敷或绞汁涂。,《本经逢原》：“若虚滑精气不固者禁用。
厚朴,厚皮、重皮、赤朴、烈朴、川朴、紫油厚朴,味苦、辛，性温；归脾、胃、肺、大肠经,燥湿消痰，下气除满。,主要用于湿阻中焦、脘腹胀满、食积气滞、腹胀便秘、肺气不降、痰饮喘咳、湿浊不分、霍乱泄泻、七情郁结、痰气互阻之梅核气等。,植物,内服：煎服，3-10g。或入丸散。,辛苦温燥湿，易耗气伤津，故气虚津亏者及孕妇当慎用。
丝瓜络,萝筋、丝瓜网、丝瓜壳、瓜络、絮瓜瓤、天罗线、丝瓜筋、丝瓜瓤、千层楼、丝瓜布,味甘，性平；归肺、胃、肝经,祛风，通络，活血。,1、风湿痹证：本品善祛风通络，唯药力平和，多入复方中应用。  2、胸胁胀痛：本品能入肝活血通络，常用于气血瘀滞之胸胁胀痛。  3、乳汁不通，乳痈：本品体轻通利，善通乳络，治产后乳少或乳汁不通者。  4、本品又能治跌打损伤、胸痹等。 ,植物,内服：煎服，4.5-9g。外用：适量。,尚不明确。
金银花,忍冬花、鹭鸳花、银花、双花、二花、金藤花、双苞花,味甘，性寒；归肺、心、胃经,清热解毒，疏散风热。,1、痈肿疔疮：本品甘寒，清热解毒，散痈消肿，为治一切内痈外痈之要药。  2、外感风热，温病初起：本品甘寒，芳香疏散，善散肺经热邪，透热达表。  3、热毒血痢：本品甘寒，有清热解毒，凉血，止痢之效。  4、尚可用治咽喉肿痛、小儿热疮及痱子。 ,植物,内服：煎服，6-15g。疏散风热、清泄里热以生品为佳；炒炭宜用于热毒血痢；露剂多用于暑热烦渴。,金银花与蒲公英同时煎煮其溶液可产生浑浊，故不宜配制复方注射液。
栀子,木丹、鲜支、越桃、支子、山栀子、枝子,味苦，性寒；归心、肺、三焦经,泻火除烦，清热利湿，凉血解毒。,1、热病心烦：本品苦寒清降，能清泻三焦火邪、泻心火而除烦，治热病心烦、躁扰不宁，热病火毒炽盛，三焦俱热而见高热烦躁、神昏谵语者。  2、湿热黄疸：本品有清利下焦肝胆湿热之功效，可用治肝胆湿热郁蒸之黄疸。  3、血淋涩痛：本品善清利下焦湿热而通淋，清热凉血以止血，故可治血淋涩痛或热淋证。  4、血热吐衄：本品功能清热凉血，可用治血热妄行之吐血、衄血等证，三焦火盛迫血妄行之吐血、衄血。  5、目赤肿痛：本品清泻三焦热邪，可治肝胆火热上攻之目赤肿痛。  6、火毒疮疡：本品功能清热泻火、凉血解毒，可用治火毒疮疡、红肿热痛者。 ,植物,内服：煎服，5-10g。外用生品适量，研末调敷。,本品苦寒伤胃，阴血亏虚，脾虚便溏者不宜用。
侧柏叶,柏叶、扁柏叶、丛柏叶,味苦、涩，性寒；归肺、肝、脾经,凉血止血，化痰止咳。,主要用于血热吐血、衄血、尿血、血痢等出血证，肺热咳嗽，血热脱发、须发早白等。,植物,内服：煎汤，6-15g，或入丸、散。外用：煎水洗，捣敷或研末调敷。,久服、多服，易致胃脘不适及食欲减退。
牛蒡,恶实、大力子,味辛、苦，性寒。果实：归肺、胃经。根：归肺、心经,果实：疏散风热，宣肺透疹，散结解毒；根：清热解毒，疏风利咽,果实：用于风热感冒，头痛，咽喉肿痛，流行性腮腺炎，疹出不透，痈疖疮疡；根：用于风热感冒，咳嗽，咽喉肿痛，疮疖肿毒，脚癣，湿疹。,植物,果实4.5-9g；根9-15g。,
茵陈,绵茵陈、茵陈蒿、白蒿,味苦、辛，性微寒,清利湿热，利胆退黄。,主治黄疸尿少、湿温暑湿、湿疮瘙痒。,植物,内服：煎服，6-15g。外用：适量。煎汤熏洗。,蓄血发黄者及血虚萎黄者慎用。
荷叶,莲叶,味苦，性平。归肝、脾、胃经,清暑化湿，升发清阳，凉血止血。荷叶炭则有收涩化瘀止血的功效。,用于暑热烦渴，暑湿泄泻，脾虚泄泻，血热吐衄，便血崩漏。荷叶炭用于出血症和产后血晕。,无毒,3～10g。荷叶炭3～6g。,《本草从新》：“升散消耗，虚者禁之。”
干姜,白姜、均姜,味辛，性热；归脾、胃、心、肺经,温中散寒，回阳通脉，温肺化饮。,1、脾胃寒证：症见脘腹冷痛、呕吐、泄泻等。干姜辛热，善温中散寒，助脾胃阳气。故无论是外寒内侵，或阳气不足之虚寒内生均可应用。  2、亡阳证：干姜既善除里寒，又能通脉助阳。  3、寒饮伏肺：症见咳嗽气喘、形寒背冷、痰多清稀等。干姜能温散肺寒而化痰饮。  4、寒湿痹痛：本品兼能散寒燥湿，宣通络脉。,植物,内服：煎汤，3-10g；或入丸、散。外用：适量，煎汤洗；或研末调敷。,阴虚内热、血热妄行者禁服。
辛夷,辛矧、侯桃、房木、辛雉、迎春、木笔花、毛辛夷、姜朴花,味辛，性温；归肺、胃经,发散风寒，通鼻窍。,1、风寒感冒：本品辛散温通，能发散风寒，宣通鼻窍。用治外感风寒，肺窍郁闭，恶寒发热，头痛鼻塞。  2、鼻塞，鼻渊：本品辛温发散，芳香通窍，其性上达，外能祛除风寒邪气，内能升达肺胃清气，善通鼻窍，为治鼻渊头痛、鼻塞流涕之要药。 ,植物,内服：煎汤，3-9g。辛夷有毛，易刺激咽喉，入汤剂宜用纱布包煎。,鼻病因于阴虚火旺者忌服。
柿子,DiospyroskakiThunb.,华东、中南及辽宁、河北、山西等地,清热，润肺，生津，解毒。,用于咳嗽，吐血，热渴，口疮，热痢，便血。,味甘、涩，性凉。归心、肺、大肠经,内服：适量，作食品；或煎汤；或烧炭研末；或在未成熟时，捣汁冲服。,凡脾胃虚寒，痰湿内盛，外感咳嗽，脾虚泄泻，疟疾等症，禁食鲜柿。
无患子,木患子、肥珠子、油珠子、菩提子《纲目》，圆肥皂、桂圆肥皂《现代实用中药》，洗手果《广西中兽医药用植物》，油患子、油皂果《贵州中草药名录》。,味苦、辛，性寒。入心、肺经,清热，祛痰，消积，杀虫。,喉痹肿痛，肺热咳喘，音哑，食滞，疳积，蛔虫腹痛，滴虫性阴道炎，癣疾，肿毒。,小毒,内服：煎汤，3-6g；或研末。 外用：适量，烧灰或研末吹喉、擦牙，或煎汤洗；或熬膏涂。,脾胃虚寒者慎用。
山药,署预、薯蓣、山芋、诸署、玉延、修脆、薯药、怀山药、蛇芋、白苕、九黄姜、野白薯、山 板薯、扇子薯、佛掌薯,味甘，性平；归脾、肺、肾经,益气养阴，补脾肺肾，固精止带。,主要用于脾虚食少，倦怠乏力，便溏泄泻，肺虚喘咳，肾虚遗精，带下尿频，内热消渴等。 ,植物,内服：煎汤，15-30g，大剂量60-250g；或入丸、散。外用：适量，捣敷。补阴宜生用；健脾止泻宜炒黄用。,湿盛中满或有实邪、积滞者禁服。
莲子,藕实、水芝丹、莲实、莲蓬子、莲肉,味甘、涩，性平；归脾、肾、心经,固精止带，补脾止泻，益肾养心。,主要用于脾虚久泻，食欲不振，肾气不足，精关不固之遗精滑精或心肾不交之小便白浊，梦遗滑精，脾虚失运，水湿下注之带下证以及心肾不交，虚烦失眠。,植物,内服：煎汤，6-15g；或入丸、散。,中满痞胀、大便燥结者禁服。
塔黄,RheumnobileHook.f.etThoms.,西藏米林、朗县,泻热，导滞，散瘀，消肿。,实热便秘，谵语发狂，食积痞滞，痢疾，湿热发黄，目赤头痛，闭经，症瘕，痈肿疔毒。,味苦，性寒。归胃、肝经,内服：煎汤，6-12g。外用：适量，捣烂敷。,孕妇慎服。
板蓝根,菘蓝、山蓝、大蓝根、马蓝根,味苦，性寒；归心、胃经,清热解毒，凉血，利咽。,1、外感发热，温病初起，咽喉肿痛：本品苦寒，入心、胃经，善于清解实热火毒，有类似于大青叶的清热解毒之功，而更以解毒利咽散结见长。  2、温毒发斑，痄腮，丹毒，痈肿疮毒：本品苦寒，有清热解毒，凉血消肿之功，主治多种瘟疫热毒之证。 ,植物,内服：煎服，9-15g。,体虚而无实火热毒者忌服，脾胃虚寒者慎用。
槟榔,仁频、宾门、宾门药饯、白槟榔、橄榄子、洗瘴丹、大腹槟榔、槟榔子、青仔、槟榔玉、榔玉,味苦、辛，性温；归胃、大肠经,杀虫消积，行气，利水，截疟。,1、肠道寄生虫病：本品驱虫谱广，对绦虫、蛔虫、蛲虫、钩虫、姜片虫等肠道寄生虫都有驱杀作用，并以泻下作用驱除虫体为其优点。  2、食积气滞、泻痢后重：本品辛散苦泄，入胃肠经，善行胃肠之气，消积导滞，兼能缓泻通便。  3、水肿、脚气肿痛：本品既能利水，又能行气，气行则助水运。  4、疟疾：本品截疟。,植物,内服：煎服，3-10g。驱绦虫、姜片虫30-60g。生用力佳，炒用力缓；鲜者优于陈久者。,脾虚便溏，气虚下陷者忌用；孕妇慎用。
