药材,古籍,别名,性味归经,功用,药材简介,药剂1,药剂2,药剂3,药剂4,药剂5,药剂6,药剂7,药剂8,药剂9,药剂10,用法用量,注意事项
苎麻根,《名医别录》,家苎麻、野麻、白麻,甘，寒。归心、肝经。,凉血止血，安胎，清热解毒。,苎麻根，中药名。为荨麻科苎麻属植物苎麻的根和根茎。具有凉血止血，安胎，清热解毒的功效。主治血热迫血妄行的各种出血证，血热胎动不安、胎漏下血、热毒痈肿等。,,,,,,,,,,,无实热者慎服。,
三七,《本草纲目》,田七、人参三七、参三七、文州三七,甘、微苦，温。归肝、胃经。,散瘀止血，消肿定痛。,,三七配白及,三七配丹参,三七配当归,三七配大黄,生地黄汤,化血丹,三七片,舒胸片,,,三七煎汁内服时，成人每天的常规用量为3～9克；研粉吞服，成人每天的常规用量为一次1～3克。三七还可以制成丸剂、散剂或者外用，需适量。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,孕妇慎服。
茜草,《神农本草经》,舌草、血见愁、地苏木、活血丹、土丹参、红内消等,苦，寒。归肝经。,凉血，祛瘀，止血，通经。,茜草，中药名。为茜草科植物茜草的根和根茎。具有凉血化瘀，止血通经的功效。主治血热妄行的出血证及血瘀经闭，跌打损伤，风湿痹痛等。,茜草配白及,茜草配黄芪,茜草配当归,茜草饮,茜梅汤,固冲汤,茜根散,参茜固经颗粒,,,茜草煎汁内服时，成人每天的常规用量为6～10克。可研末入丸、散。外用适量。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 止血宜炒炭用，活血祛瘀、通经宜生用或酒炒用。,少数患者服药后有恶心、呕吐及轻度血压升高反应。
蒲黄,《神农本草经》,香蒲、水蜡丸、蒲草、生蒲黄,甘，平。归肝、心包经。,止血，化瘀，利尿通淋。,蒲黄，中药名。为香蒲科香蒲属植物水烛香蒲、东方香蒲或同属植物的干燥花粉。具有止血，化瘀，利尿的功效。主治吐血，衄血，咯血，崩漏，外伤出血，经闭痛经，胸腹刺痛，跌扑肿痛，血淋涩痛。,蒲黄配茜草,蒲黄配阿胶,蒲黄丸,子芩散,蒲黄散,延胡索汤,宫血停颗粒,妇科止血灵,,,蒲黄煎汁内服时需要包煎，成人每天的常规用量为5～10克。 外用时适量，可敷在患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 止血多炒用，化瘀、利尿多生用。,孕妇慎服。
花蕊石,《嘉祐本草》,花乳石、白云石,酸、涩，平。归肝经。,化瘀止血。,花蕊石，中药名。为变质岩类岩石蛇纹大理岩的石块。具有化瘀止血的功效。主治瘀血阻滞的出血证等。开矿采集。,,,,,,,,,,,孕妇禁服。,
白及,《神农本草经》,白芨、甘根、连及草、臼根、白给,苦、甘、涩，微寒。归肺、胃、肝经。,收敛止血，消肿生肌。,白及，中药名。为兰科白及属植物白及的块茎。具有收敛止血，消肿生肌的功效。主治出血证，痈肿疮疡，手足皲裂，水火烫伤。,,,,,,,,,,,煎服，6～15g；研末吞服3～6g。外用适量。,“十八反”中明言“乌头反白及”，故乌头（川乌，草乌）与白及一般不宜配伍。并反附子。
仙鹤草,《图经本草》,龙芽草、脱力草、狼牙草,苦、涩，平。归心、肝经。,收敛止血，截疟，止痢，解毒，补虚。,仙鹤草，中药名。为蔷薇科龙芽草属植物龙芽草的干燥地上部分。具有收敛止血，止痢，截疟，补虚的功效。主治各种出血证，久泻久痢，寒热疟疾，气血亏虚脱力劳伤等。,仙鹤草配生地黄,仙鹤草配大枣,维血宁颗粒（合剂）,达肺草,溃疡胶囊,腹安冲剂,养血安神片（糖浆、丸）,,,,仙鹤草煎汁内服时，成人每天的常规用量为6~12克。 外用适量，捣敷；或熬膏涂敷。或入丸、散。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化 。,服后可引起心悸、颜面充血与潮红等现象。
紫珠叶,苦、涩，凉。归肝、肺、胃经,凉血收敛止血，散瘀解毒消肿。,紫珠叶，中药名。为马鞭草科植物杜虹花的干燥叶。夏、秋二季枝叶茂盛时采摘，干燥。具有凉血收敛止血，散瘀解毒消肿之功效。常用于衄血，咯血，吐血，便血，崩漏，外伤出血，热毒疮疡，水火烫伤。,,夏、秋二季枝叶茂盛时采收，除去杂质，洗净，切段，干燥。,,,,,,,,,,,,
血余炭,血余、发髲、乱发、发灰子、头发、人发灰,味苦，性平；归肝、胃经,收敛止血，化瘀，利尿。,血余炭，中药名。为人科健康人头发制成的炭化物。具有化瘀止血，养阴利尿的功效。主治瘀血阻滞的出血证及小便不利等。开矿采集。,胃弱者慎服。,,,,,,,,,,,,1、治咳血、吐血，常与花蕊石、三七同用，如化血丹（《医学衷中参西录》）。 2、治血淋，配蒲黄、生地、赤茯苓、甘草，水煎服如《赤水玄珠》。 3、治便血，可配地榆、槐花等同用，如三灰散（《类证治裁》）。 4、治崩漏，可单用本品，与酒和服。 5、治小便不利，常与滑石、白鱼同用，如滑石白鱼散（《金匮要略》）。
藕节,光藕节、藕节巴、藕节炭,味甘、涩，性平；归肝、肺、胃经,化瘀止血，利尿。,藕节，中药名。为睡莲科莲属植物莲的根茎节部。具有收敛止血的功效。主治吐血、咯血、衄血等多种出血证。,藕节煎汁内服时，成人每天的常规用量为9～15克。 外用适量，可以研末后吹入鼻内，或用鲜藕节捣汁滴鼻。 无论饭前还是饭后服，服药与进食都应间隔0.5-1小时，以免影响药物吸收和药效的发挥。,,,,,,,,,,,忌铁器。,
艾叶,《名医别录》,艾草、艾蒿、家艾、野艾,辛、苦，温；有小毒。归肝、脾、肾经。,温经止血，散寒止痛，调经，安胎；外用祛湿止痒。,艾叶，中药名。为菊科蒿属植物艾的叶。具有温经止血，散寒止痛，祛湿止痒的功效。主治吐血，衄血，咯血，便血，崩漏，妊娠下血，月经不调，痛经，胎动不安，心腹冷痛，泄泻久痢，霍乱转筋，带下，湿疹，疥癣，痔疮，痈疡。地上部分生长最旺盛时或在花蕾将开放时，亦或在花盛开，果实尚未成熟时采收。 保存一年以上的艾叶，称为陈艾叶，简称“陈艾” ，而陈艾叶中以三年到五年为最好，俗称“三年陈艾”和“五年陈艾”。,艾叶配阿胶,艾叶配香附,艾叶配苍术,胶艾汤,艾附暖宫丸,固经丸,艾叶汤,保胎无忧片,,,艾叶煎汁内服时，成人每天的常规用量为3～9克。 或入丸、散；或捣汁。外用时适量，捣绒作柱或制成艾条熏灸；或捣敷；或煎水熏洗；或炒热温熨。 温经止血适宜炒炭用，其他用法多生用。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物吸收和药效的发挥。,阴虚血热者慎服。
炮姜,黑姜,味苦、涩，性温；归脾、胃、肾、心、肺经,温经止血，温中止痛。,炮姜，中药名。为姜科姜属植物姜干燥根茎的炮制品。具有温经止血，温中止痛的功效。主治虚寒出血证、腹痛、腹泻等。,内服：煎汤，3-6g；或入丸、散。外用：研末调敷。,,,,,,,,,,,孕妇及阴虚有热者禁服。,
灶心土,《金匮要略》,伏龙肝、灶中黄土、釜下土、釜月下土、灶中土、灶内黄土,味辛，性温；归脾、胃经,温中止血，止呕，止泻。,灶心土，中药名。为久经柴草或木柴熏烧后灶内壁的土块。具有温中止血，止呕，止泻的功效。主治出血证、胃寒呕吐、脾虚久泻等。,,,,,,,,,,,内服：煎服，15-30g，布包，先煎；或60-120g，煎汤代水。亦可入丸、散，外用：适量。,阴虚失血及热证呕吐反胃者忌服。
川芎,《神农本草经》,山鞠穷、芎藭、香果、胡藭、芎藭、雀脑芎、京芎、贯芎、生川军,辛，温。归肝、胆、心包经。,活血行气，祛风止痛。,川芎，中药名，为伞形科藁本属植物川芎的干燥根茎。具有活血行气，祛风止痛的功效。主要用于心脉瘀阻之胸痹心痛、肝郁气滞之胁肋胀痛、肝血瘀阻之胸胁刺痛、瘀血阻滞之跌仆损伤、疮疡肿痛、月经不调、经闭痛经、产后瘀痛、恶露不行、多种头痛和风湿痹痛等。,川芎配白芍,川芎配柴胡,川芎配丹参,川芎配白芷,川芎配独活,柴胡疏肝散,通窍活血汤,川芎散,川芎茶调散,,川芎煎汁内服时，成人每天的常规用量为3~10克。或入丸、散剂。 外用时适量，研末撒于患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 用于治疗瘀血偏寒（可有怕冷、局部刺痛等表现）的病证时适宜酒炙用。,1.川芎辛温升散，肝阳上亢所引起的头痛慎用。 2.其温燥之性，有耗血伤阴之弊，阴虚火旺，舌红口干者不宜应用。 3.妇女月经过多及无瘀之出血疾病不宜应用。 4.孕妇忌用。
延胡索,《雷公炮炙论》,元胡、延胡、元胡索、玄胡、玄胡索,辛、苦，温。归肝、脾、心经。,活血，行气，止痛。,延胡索，中药名。为罂粟科紫堇属植物延胡索的干燥块茎。具有活血，行气，止痛的功效。主要用于气血瘀滞所致的各种痛证。如胸痹心痛、肝胃气痛、痛经、月经不调、产后瘀滞腹痛、寒疝腹痛、跌打损伤、瘀肿疼痛、风湿痹痛等。,,,,,,,,,,,煎服，3～10g；研末服，每次1.5～3g。醋制可加强止痛之功。,1.性温，凡外感风热或温热、火热内炽、阴虚火旺、血虚血热等证，不宜单味药大量服用。 2.辛散温通，善治气滞血瘀，有耗伤气血之弊。凡气虚、血虚及气血两虚者不宜单味药服用。老年人、婴幼儿不宜长期服用，月经过多及血虚无瘀者慎用。 3.可以抑制心脏活动，心功能不全等心脏病患者不宜大量长期服用。 4.有降低血压的作用，低血压患者不宜长期服用。 5.能减少胃酸分泌，萎缩性胃炎等病患者不宜长期服用。 6.对中枢神经系统有明显的抑制作用，婴幼儿、老年人不宜大量长期服用。 7.活血散瘀，容易损伤胎元，妊娠期妇女禁用。
姜黄,《新修本草》,黄姜、毛黄姜、黄丝郁金,辛、苦，温。归肝、脾经。,活血行气，通经止痛。,姜黄，中药名。为姜科姜黄属植物姜黄的干燥根茎。具有活血行气，通经止痛的功效。主治气滞血瘀痛证，风湿痹痛。,姜黄配桂枝,姜黄配羌活,姜黄配枳壳,五痹汤,姜桂散,姜黄散,利胆止痛片,,,,"姜黄煎汁内服时，成人每天的常规用量为3～10克。 入丸、散用；外用时适量,研末调敷。 多饭后服，无论饭前还是饭后服，服药与进食都应间隔0.5～1小时，以免影响药物的吸收和药效的发挥。",血虚无气滞血瘀慎服，孕妇忌用。
郁金,《药性论》,川郁金、广郁金、玉金,辛、苦，寒；归肝、胆、心、肺经。,活血止痛，行气解郁，清心凉血，利胆退黄。,郁金，中药名。为姜科姜黄属植物温郁金、姜黄、广西莪术或蓬莪术的干燥块根。具有活血止痛，行气解郁，清心凉血，利胆退黄的功效。主治气滞血瘀痛证，热病神昏，癫痫痰闭，吐血，衄血，倒经，尿血，血淋，肝胆湿热黄疸、胆石症。,郁金配柴胡,郁金配木香,郁金配茵陈,郁金配白矾,颠倒木金散,宣郁通经汤,白金丸,和胃片,,,郁金煎汁内服时，成人每天的常规用量为3～10克。研末服2～5克。 用于排石，剂量可稍大，临床生用居多，经过醋制后，疏肝止痛作用增强。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,阴虚失血及无气滞血瘀者忌服，孕妇慎服。
降香,《证类本草》,花梨母、降香黄檀,辛，温。归肝、脾经。,化瘀止血，理气止痛,降香，中药名。为豆科黄檀属植物降香檀树干和根的干燥心材。具有化瘀止血，理气止痛的功效。主治瘀血阻滞的出血，血瘀气滞的胸胁疼痛、跌损瘀痛，秽浊内阻脾胃的呕吐腹痛等。全年可采。,降香配五灵脂,降香配广藿香,立止吐血膏,七香散,跌打镇痛膏,正骨水,荣心丸,冠心安口服液,,,降香煎汁内服时，成人每天的常规用量为9~15克。 降香入煎剂宜后下。也可研末吞服，或入丸、散剂。 本品外用时适量，研细末敷患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,阴虚火旺，血热妄行者禁服。
没药,《开宝本草》,末药、明没药,辛、苦，平。归心、肝、脾经。,散瘀定痛，消肿生肌。,没药，中药名。为橄榄科没药属植物没药树或其他同属植物皮部渗出的油胶树脂。具有活血止痛，消肿生肌的功效。主治瘀血阻滞所致的跌打损伤，瘀滞肿痛、痈疽肿痛、疮疡溃后久不收口，胸痛、胁痛、心腹痛、痛经、产后腹痛、风湿痹痛，癥瘕积聚等。,没药配乳香,没药配延胡索,没药散,海浮散,手拈散,散结灵胶囊,风痛灵,,,,没药煎汁内服时，成人每天的常规用量为3～5克。多做成丸、散剂型使用。 外用适量，生用或炒用，研末外敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.没药活血散瘀，孕妇及无瘀滞者忌用。 2.味苦气浊，对胃有较强的刺激性，易引起恶心呕吐，有伤脾败胃之弊，脾胃虚弱者慎用，且不宜大剂量应用。
